personId,firstName,familyName,nameI,playerSlug,position,comment,jerseyNum,statistics.minutes,statistics.fieldGoalsMade,statistics.fieldGoalsAttempted,statistics.fieldGoalsPercentage,statistics.threePointersMade,statistics.threePointersAttempted,statistics.threePointersPercentage,statistics.freeThrowsMade,statistics.freeThrowsAttempted,statistics.freeThrowsPercentage,statistics.reboundsOffensive,statistics.reboundsDefensive,statistics.reboundsTotal,statistics.assists,statistics.steals,statistics.blocks,statistics.turnovers,statistics.foulsPersonal,statistics.points,statistics.plusMinusPoints,teamName,Q
203114,Khris,Middleton,K. Middleton,khris-middleton,G,,,8:21,1,3,0.333,0,1,0.0,0,0,0.0,0,1,1,3,1,0,0,1,2,-5.0,Bucks,4
201950,Jrue,Holiday,J. Holiday,jrue-holiday,G,,,11:42,3,4,0.75,0,0,0.0,1,1,1.0,0,0,0,3,1,0,0,2,7,0.0,Bucks,4
1626192,Pat,Connaughton,P. Connaughton,pat-connaughton,,,,12:00,2,5,0.4,1,4,0.25,0,0,0.0,1,2,3,0,0,0,1,3,5,0.0,Bucks,4
201952,Jeff,Teague,J. Teague,jeff-teague,,,,4:47,1,2,0.5,0,0,0.0,2,2,1.0,0,0,0,0,0,0,0,0,4,0.0,Bucks,4
1627854,Bryn,Forbes,B. Forbes,bryn-forbes,,,,0:18,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,Bucks,4
1629091,Elijah,Bryant,E. Bryant,elijah-bryant,,,,0:18,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,Bucks,4
1628969,Mikal,Bridges,M. Bridges,mikal-bridges,F,,,12:00,1,2,0.5,0,0,0.0,8,8,1.0,2,1,3,0,0,0,0,0,10,0.0,Suns,4
203109,Jae,Crowder,J. Crowder,jae-crowder,F,,,7:54,1,2,0.5,0,1,0.0,0,0,0.0,0,1,1,0,0,0,0,0,2,7.0,Suns,4
1629028,Deandre,Ayton,D. Ayton,deandre-ayton,C,,,11:42,2,2,1.0,0,0,0.0,0,0,0.0,1,3,4,2,2,1,0,1,4,0.0,Suns,4
1626164,Devin,Booker,D. Booker,devin-booker,G,,,11:09,3,4,0.75,3,4,0.75,0,0,0.0,0,0,0,0,0,0,0,2,9,0.0,Suns,4
101108,Chris,Paul,C. Paul,chris-paul,G,,,12:00,2,8,0.25,1,2,0.5,0,1,0.0,1,0,1,4,0,0,3,1,5,0.0,Suns,4
1626166,Cameron,Payne,C. Payne,cameron-payne,,,,0:18,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,0,0.0,Suns,4
1629661,Cameron,Johnson,C. Johnson,cameron-johnson,,,,4:13,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,0,-5.0,Suns,4
1627846,Abdel,Nader,A. Nader,abdel-nader,,,,0:45,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-2.0,Suns,4
